,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,HD photo name,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,PD photo name,Letters Missing
,8,Resilience/Negation,Early/Mid-Stage Symptoms,,,Animal Shelter,"You like to volunteer at your local animal shelter. Recently, you helped a rescue dog who liked to jump on people. With your balance challenges, being around the dog made you uneasy.",You quickly warmed up to the dog and realized that you could control their behavior with treats. Knowing how to handle them made you feel satisfied.,"Ultimately, working with the dog made you feel...",Good,Incapable,https://drive.google.com/file/d/1pW0Clhw4iQ6VvtMC86K_iPalDQhpestL/view?usp=drive_link,520.jpg,"You like to volunteer at your local animal shelter. Recently, you helped a rescue dog who liked to jump on people. With your balance challenges, being around the dog made you uneasy.",You quickly warmed up to the dog and realized that you could control their behavior with treats. Knowing how to handle them made you feel satisfied.,"Ultimately, working with the dog made you feel...",Good,Incapable,https://drive.google.com/file/d/1pW0Clhw4iQ6VvtMC86K_iPalDQhpestL/view?usp=drive_link,520.jpg,1
,9,Positive,Early/Mid-Stage Symptoms,,,Future Workouts,"You are attending your weekly workout class. While doing the exercises, you start to wonder if you will be able to attend your classes in the future as your HD symptoms worsen. You decide that, over time, your workouts will adapt.",,Will you have to quit working out as soon as your symptoms worsen?,No,Yes,https://drive.google.com/file/d/10AwpVeQtKvRQflZPaQTJnQRy8UmoXhH-/view?usp=drive_link,802.jpg,"You are attending your weekly workout class. While doing the exercises, you start to wonder if you will be able to attend your classes in the future as your PD symptoms worsen. You decide that, over time, your workouts will adapt.",,Will you have to quit working out as soon as your symptoms worsen?,No,Yes,https://drive.google.com/file/d/10AwpVeQtKvRQflZPaQTJnQRy8UmoXhH-/view?usp=drive_link,802.jpg,1
,10,Positive,Early/Mid-Stage Symptoms,,,Staying Present,"Lately, you feel like you've been having a harder time keeping up mentally. This has been causing you to feel depressed about your disease progression and what your near future will look like. You decide that regardless of what the future holds, you will focus on enjoying the present.",,You decide to focus on...,The current moment,"Future ""what-ifs""",https://drive.google.com/file/d/1AiPQKtxeHC8o_LYBwKfq8XRell6Vjq-3/view?usp=drive_link,803.jpg,"Lately, you feel like you've been having a harder time keeping up mentally. This has been causing you to feel depressed about your disease progression and what your near future will look like. You decide that regardless of what the future holds, you will focus on enjoying the present.",,You decide to focus on...,The current moment,"Future ""what-ifs""",https://drive.google.com/file/d/1AiPQKtxeHC8o_LYBwKfq8XRell6Vjq-3/view?usp=drive_link,803.jpg,1
16,1,Positive,Early/Mid-Stage Symptoms,,,Movie Theater Distraction,"You are watching a new movie at a local movie theater. As the first scene begins, you start to worry that your chorea will be distracting for those sitting around you. You remember that your symptoms are out of your control, and you decide to focus on the movie.",,"As you become aware of your movements, you decide to focus on the...",Film in front of you,Thoughts of people nearby,https://drive.google.com/file/d/1JM7NKLnaqWqVZiSLGhbhxgOiKUhWtWOI/view?usp=drive_link,804.jpg,"You are watching a new movie at a local movie theater. As the first scene begins, you start to worry that your tremor and dyskinesia will be distracting for those sitting around you. You remember that your symptoms are out of your control, and you decide to focus on the movie.",,"As you become aware of your movements, you decide to focus on the...",Film in front of you,Thoughts of people nearby,https://drive.google.com/file/d/1JM7NKLnaqWqVZiSLGhbhxgOiKUhWtWOI/view?usp=drive_link,804.jpg,2
,2,Resilience/Negation,Early/Mid-Stage Symptoms,,,Directions to Thrift Store,You enjoy walking to the thrift store occasionally. You turn on the wrong street and have to retrace your steps. This makes you worried.,You remember that you can always use your phone to get there. You stay positive.,Focusing on positives...,Helps you,Doesn't change a thing,https://drive.google.com/file/d/1cI4yLtXdmn815n-x165kBJJZ-IiiAcX2/view?usp=drive_link,805.jpg,You enjoy walking to the thrift store occasionally. You turn on the wrong street and have to retrace your steps. This makes you worried.,You remember that you can always use your phone to get there. You stay positive.,Focusing on positives...,Helps you,Doesn't change a thing,https://drive.google.com/file/d/1cI4yLtXdmn815n-x165kBJJZ-IiiAcX2/view?usp=drive_link,805.jpg,2
,3,Positive,Early/Mid-Stage Symptoms,,,Delayed Texting ,"You are responding to a text on your phone. It's taking you a long time to type a short response, and you wonder whether the recipient will be annoyed. You realize that the response at hand is not an emergency, and the recipient will be patient. ",,The recipient of your text will...,Happily wait,Be frustrated,https://drive.google.com/file/d/1ka68KDp_ajnCpPyPN1QmCoYtzKaHSeNJ/view?usp=drive_link,806.jpg,"You are responding to a text on your phone. It's taking you a long time to type a short response, and you wonder whether the recipient will be annoyed. You realize that the response at hand is not an emergency, and the recipient will be patient. ",,The recipient of your text will...,Happily wait,Be frustrated,https://drive.google.com/file/d/1ka68KDp_ajnCpPyPN1QmCoYtzKaHSeNJ/view?usp=drive_link,806.jpg,2
,4,Negative,Early/Mid-Stage Symptoms,Presymptomatic,,Unsteadiness in the Park,,,,,,,,"You walk your dog in the park everyday. You and your dog have both started to notice that you're unsteady when you walk. You begin to think about other small changes you've noticed recently, and you think that your disease is progressing.",,Your symptoms seem to be... ,Getting worse,Getting better,https://drive.google.com/file/d/1-c3tWfow9P3mSUfkyJN5NYjBDHJfgJr0/view?usp=drive_link,915.jpg,2
,5,Positive,Early/Mid-Stage Symptoms,,,Pet Schedule,"It's early evening, and you can't seem to remember if you already fed your pet dinner. You start to worry about your memory and whether you will be able to continue to care for your pet. You think about setting up reminders or a system for remembering and decide that caring for your pet will be manageable. ",,Will you have to give up your pet?,No,Yes,https://drive.google.com/file/d/1IaOr-zIiCT9pQ-V4epRpAFV3mERttc-e/view?usp=drive_link,211.jpg,"It's early evening, and you can't seem to remember if you already fed your pet dinner. You start to worry about your memory and whether you will be able to continue to care for your pet. You think about setting up reminders or a system for remembering and decide that caring for your pet will be manageable. ",,Will you have to give up your pet?,No,Yes,https://drive.google.com/file/d/1IaOr-zIiCT9pQ-V4epRpAFV3mERttc-e/view?usp=drive_link,211.jpg,2
,6,Positive,Early/Mid-Stage Symptoms,,,Overwhelmed at Meeting,"You're attending a neighborhood council meeting and talking with those around you. As the conversation flows, you feel overwhelmed trying to keep track of the multiple voices and topics being discussed. You decide to take a moment to step aside and explain to a close neighbor about your difficulty, knowing that they will be try to be helpful and inclusive.",,You know your neighbor will be...,Helpful,Unhelpful,https://drive.google.com/file/d/1oobd06Ho69s_T4rgGmRWvsZS6bqV_dwe/view?usp=drive_link,808.jpg,"You're attending a neighborhood council meeting and talking with those around you. As the conversation flows, you feel overwhelmed trying to keep track of the multiple voices and topics being discussed. You decide to take a moment to step aside and explain to a close neighbor about your difficulty, knowing that they will be try to be helpful and inclusive.",,You know your neighbor will be...,Helpful,Unhelpful,https://drive.google.com/file/d/1oobd06Ho69s_T4rgGmRWvsZS6bqV_dwe/view?usp=drive_link,808.jpg,2
,7,Positive,Early/Mid-Stage Symptoms,,,Cleaning Your Home,"Your home is a mess, and you decide to tackle some chores. You start to fold the laundry, but you find that you're struggling to fold clothes neatly. At first, this causes you to feel overwhelmed, but you remind yourself to take a deep breath and relax.",,Are you able to calm yourself down?,Yes,No,https://drive.google.com/file/d/1_3Gq8vWEOFgQ4njcMs7niH5hbVL4ZiI-/view?usp=drive_link,212.jpg,"Your home is a mess, and you decide to tackle some chores. You start to fold the laundry, but you find that you're struggling to fold clothes neatly. At first, this causes you to feel overwhelmed, but you remind yourself to take a deep breath and relax.",,Are you able to calm yourself down?,Yes,No,https://drive.google.com/file/d/1_3Gq8vWEOFgQ4njcMs7niH5hbVL4ZiI-/view?usp=drive_link,212.jpg,2
,8,Resilience/Negation,Early/Mid-Stage Symptoms,,,Comparing at the Gym,"You go to the gym twice a week to do strength training exercises. Although you enjoy your time at the gym, you can't help but notice your mobility compared to others. You realize that thinking about this gets you in a bad mood. ",You decide to confide in your trainer who highlights the improvement you've been making in a relatively short period of time. Their encouragement allows you to look at the situation more positively.,Focusing on recent improvements makes you feel...,Better,Worse,https://drive.google.com/file/d/1XlcoOWHVc25g5V60fl28nLOWGrnP1jLT/view?usp=drive_link,525.jpg,"You go to the gym twice a week to do strength training exercises. Although you enjoy your time at the gym, you can't help but notice your mobility compared to others. You realize that thinking about this gets you in a bad mood. ",Your decide to confide in your trainer who highlights the improvement you've been making in a relatively short period of time. Their encouragement allows you to look at the situation more positively.,Focusing on recent improvements makes you feel...,Better,Worse,https://drive.google.com/file/d/1XlcoOWHVc25g5V60fl28nLOWGrnP1jLT/view?usp=drive_link,525.jpg,2
,9,Positive,Early/Mid-Stage Symptoms,,,Sunny Beach Day,"You're enjoying a sunny beach day and notice unsteadiness in your steps while walking along the shore. You worry that someone will notice your walk and wonder if something is wrong. However, you realize that everyone is probably just enjoying the beach and not focused on you, making you feel comforted.",,Everyone is probably...,Enjoying the beach,Focused on you,https://drive.google.com/file/d/1CHma8jka9eIesuCPLUqvisje37UuzKTN/view?usp=drive_link,809.jpg,"You're enjoying a sunny beach day and notice unsteadiness in your steps while walking along the shore. You worry that someone will notice your walk and wonder if something is wrong. However, you realize that everyone is probably just enjoying the beach and not focused on you, making you feel comforted.",,Everyone is probably...,Enjoying the beach,Focused on you,https://drive.google.com/file/d/1CHma8jka9eIesuCPLUqvisje37UuzKTN/view?usp=drive_link,809.jpg,2
